,wings
Podacanthus_wilkinsoni,1
Pseudoclitarchus_sentus,2
Pseudoleosthenes_irregularis,1
Pseudophasma_rufipes,1
Pseudophasma_subapterum,1
Pseudophasma_velutinum,1
Pseudosermyle_phalangiphora,2
Pterinoxylus_crassus,1
Pterobrimus_depressus,2
Pylaemenes_guangxiensis,2
Ramulus_artemis,2
Ramulus_hainanense,2
Ramulus_irregulariterdentatus,2
Ramulus_thaii,2
Rhamphosipyloidea_gorkomi,2
Rhaphiderus_bedoti,2
Rhaphiderus_scabrosus,2
Rhaphiderus_spiniger,2
Rhynchacris_ornata,2
Sceptrophasma_hispidulum,2
Sceptrophasma_langkawicense,2
Sceptrophasma_langkawicensis,2
Sipyloidea_sipylus,1
Spathomorpha_adefa,2
Spiniphasma_crassithorax,2
Spinonemia_chilensis,2
Spinotectarchus_acornutus,2
Sungaya_inexpectata,2
Tectarchus_huttoni,2
Tectarchus_ovobessus,2
Tectarchus_salebrosus,2
Thaumatobactron_guentheri,2
Timema_bartmani,2
Timema_boharti,2
Timema_californicum,2
Timema_chumash,2
Timema_cristinae,2
Timema_dorothea,2
Timema_douglasi,2
Timema_genevieve,2
Timema_knulli,2
Timema_landelsensis,2
Timema_monikensis,2
Timema_nakipa,2
Timema_nevadense,2
Timema_petita,2
Timema_podura,2
Timema_poppensis,2
Timema_ritensis,2
Timema_shepardii,2
Timema_tahoe,2
Trachyaretaon_brueckneri,2
Trachythorax_maculicollis,1
Tropidoderus_childrenii,1
Xeroderus_kirbii,1
Xylica_oedematosa,2
Zehntneria_mystica,2
